Date,Product,Price,Quantity,Revenue,anomaly_flag
2024-04-01,Shirt,0.11285266457680254,0.42105263157894735,0.20740740740740737,0.0
2024-04-02,Jeans,0.43887147335423193,0.21052631578947367,0.4296296296296297,0.0
2024-04-03,Hat,0.0,0.7368421052631579,0.20740740740740737,0.0
2024-04-04,Shirt,0.12539184952978055,0.42105263157894735,0.24444444444444446,0.0
2024-04-05,Shirt,0.9999999999999999,0.42105263157894735,0.9999999999999999,0.0
2024-04-06,Jeans,0.4137931034482759,0.10526315789473684,0.029629629629629672,0.0
2024-04-07,Hat,0.012539184952978066,0.8421052631578947,0.3851851851851852,0.0
2024-04-08,Shirt,0.12539184952978055,0.4405458089668616,0.059259259259259234,0.0
2024-04-09,Jeans,0.46394984326018807,0.21052631578947367,0.474074074074074,0.0
2024-02-01,Shirt,0.12539184952978055,0.3157894736842105,0.059259259259259234,0.0
2024-02-02,Jeans,0.4137931034482759,0.21052631578947367,0.3851851851851852,0.0
2024-02-03,Hat,0.012539184952978066,0.9473684210526315,0.5037037037037037,0.0
2024-02-04,Shirt,0.11285266457680254,0.4405458089668616,0.029629629629629672,0.0
2024-02-05,Shirt,0.9999999999999999,0.42105263157894735,0.9999999999999999,0.0
2024-02-06,Shirt,0.11285266457680254,0.42105263157894735,0.20740740740740737,0.0
2024-02-07,Jeans,0.43887147335423193,0.10526315789473684,0.059259259259259234,0.0
2024-02-08,Hat,0.025078369905956133,0.9999999999999999,0.7037037037037036,0.0
2024-02-09,Shirt,0.10031347962382448,0.3157894736842105,0.0,0.0
2024-02-10,Jeans,0.46394984326018807,0.21052631578947367,0.474074074074074,0.0
2024-01-01,Shirt,0.11285266457680254,0.42105263157894735,0.20740740740740737,0.0
2024-01-02,Jeans,0.43887147335423193,0.10526315789473684,0.059259259259259234,0.0
2024-01-03,Hat,0.0,0.9473684210526315,0.4296296296296297,0.0
2024-01-04,Shirt,0.9999999999999999,0.3157894736842105,0.029629629629629672,0.0
2024-01-05,Jeans,0.46394984326018807,0.21052631578947367,0.474074074074074,0.0
2024-01-06,Shirt,0.11285266457680254,0.42105263157894735,0.20740740740740737,0.0
2024-01-07,Hat,0.012539184952978066,0.9999999999999999,0.7407407407407408,0.0
2024-01-08,Jeans,0.9999999999999999,0.0,0.9999999999999999,0.0
2024-01-09,Shirt,0.13793103448275862,0.5263157894736842,0.474074074074074,0.0
2024-06-01,Shirt,0.12539184952978055,0.42105263157894735,0.24444444444444446,0.0
2024-06-02,Jeans,0.46394984326018807,0.21052631578947367,0.474074074074074,0.0
2024-06-03,Hat,0.012539184952978066,0.9473684210526315,0.5037037037037037,0.0
2024-06-04,Shirt,0.11285266457680254,0.42105263157894735,0.20740740740740737,0.0
2024-06-05,Shirt,0.9999999999999999,0.42105263157894735,0.9999999999999999,0.0
2024-06-06,Jeans,0.4137931034482759,0.10526315789473684,0.029629629629629672,0.0
2024-06-07,Hat,0.025078369905956133,0.9999999999999999,0.8296296296296296,0.0
2024-06-08,Shirt,0.9999999999999999,0.5263157894736842,0.3851851851851852,0.0
2024-06-09,Jeans,0.43887147335423193,0.21052631578947367,0.4296296296296297,0.0
2024-03-01,Hat,0.012539184952978066,0.8421052631578947,0.3851851851851852,0.0
2024-03-02,Shirt,0.12539184952978055,0.42105263157894735,0.24444444444444446,0.0
2024-03-03,Jeans,0.43887147335423193,0.10526315789473684,0.059259259259259234,0.0
2024-03-04,Shirt,0.9999999999999999,0.5263157894736842,0.3851851851851852,0.0
2024-03-05,Jeans,0.46394984326018807,0.21052631578947367,0.474074074074074,0.0
2024-03-06,Hat,0.025078369905956133,0.9473684210526315,0.5777777777777778,0.0
2024-03-07,Shirt,0.9999999999999999,0.0,0.9999999999999999,0.0
2024-03-08,Jeans,0.4263322884012539,0.21052631578947367,0.40740740740740733,0.0
2024-03-09,Shirt,0.13793103448275862,0.3157894736842105,0.0888888888888889,0.0
2024-05-01,Shirt,0.13793103448275862,0.5263157894736842,0.474074074074074,0.0
2024-05-02,Jeans,0.4137931034482759,0.21052631578947367,0.3851851851851852,0.0
2024-05-03,Hat,0.025078369905956133,0.9999999999999999,0.7037037037037036,0.0
2024-05-04,Shirt,0.9999999999999999,0.3157894736842105,0.029629629629629672,0.0
2024-05-05,Jeans,0.43887147335423193,0.10526315789473684,0.059259259259259234,0.0
2024-05-06,Shirt,0.11285266457680254,0.42105263157894735,0.20740740740740737,0.0
2024-05-07,Hat,0.012539184952978066,0.9473684210526315,0.5037037037037037,0.0
2024-05-08,Jeans,0.9999999999999999,0.0,0.9999999999999999,0.0
2024-05-09,Shirt,0.10031347962382448,0.3157894736842105,0.0,0.0
