customer_id,age,gender,annual_income_usd,spending_score,visits_per_month,avg_transaction_value,days_since_last_purchase,city
C001,0.058823529411764705,Female,0.027777777777777776,0.9142857142857143,0.7692307692307693,0.06580016246953696,0.07407407407407407,Jakarta
C002,0.4411764705882353,Male,0.3888888888888889,0.38571428571428573,0.38461538461538464,0.2412672623883022,0.05555555555555555,Surabaya
C003,0.2647058823529412,Female,0.1388888888888889,0.8,0.6153846153846154,0.11697806661251016,0.12962962962962962,Bandung
C004,0.6470588235294118,Male,0.6388888888888888,0.3,0.23076923076923078,0.35580828594638503,0.35185185185185186,Medan
C005,0.3235294117647059,Female,0.20833333333333334,0.6714285714285714,0.46153846153846156,0.15190901705930138,0.16666666666666666,Jakarta
C006,0.17647058823529413,Male,0.05555555555555555,0.8714285714285714,0.6923076923076923,0.09098294069861901,0.09259259259259259,Surabaya
C007,0.8235294117647058,Female,0.8194444444444444,0.02857142857142857,0.15384615384615385,0.7627944760357434,0.6296296296296297,Bandung
C008,0.5588235294117647,Male,0.4722222222222222,0.4857142857142857,0.3076923076923077,0.25751421608448416,0.25925925925925924,Medan
C009,0.08823529411764706,Female,0.06944444444444445,1.0,0.8461538461538461,0.03168155970755483,0.037037037037037035,Jakarta
C010,0.38235294117647056,Male,0.2777777777777778,0.6,0.5384615384615384,0.1990251827782291,0.14814814814814814,Surabaya
C011,0.23529411764705882,Female,0.125,0.8428571428571429,0.6153846153846154,0.09991876523151909,0.1111111111111111,Bandung
C012,0.7352941176470589,Male,0.5694444444444444,0.21428571428571427,0.23076923076923078,0.3151909017059301,0.3888888888888889,Medan
C013,0.5,Female,0.4305555555555556,0.5285714285714286,0.3076923076923077,0.2331437855402112,0.2777777777777778,Jakarta
C014,0.8823529411764706,Male,0.8888888888888888,0.0,0.07692307692307693,0.8448415922014623,0.7222222222222222,Surabaya
C015,0.20588235294117646,Female,0.08333333333333333,0.9285714285714286,0.7692307692307693,0.07311129163281885,0.05555555555555555,Bandung
C016,0.8823529411764706,Female,0.9405,0.9142857142857143,0.23076923076923078,0.9910641754670999,0.8888888888888888,Medan
C017,0.5882352941176471,Female,0.17705555555555555,0.7857142857142857,0.9230769230769231,0.01949634443541836,0.3888888888888889,Jakarta
C018,0.23529411764705882,Female,0.47226388888888887,0.8,0.46153846153846156,0.0,0.1111111111111111,Surabaya
C019,1.0,Male,0.04975,0.21428571428571427,0.9230769230769231,0.06986190089358245,0.2222222222222222,Bandung
C020,0.9705882352941176,Male,0.6100416666666667,0.08571428571428572,0.6923076923076923,0.5759545085296507,0.3148148148148148,Medan
C021,0.0,Female,0.021138888888888888,0.4857142857142857,0.46153846153846156,0.6734362307067425,0.14814814814814814,Jakarta
C022,0.6176470588235294,Female,0.7596666666666667,0.45714285714285713,0.07692307692307693,1.0,0.0,Surabaya
C023,0.8235294117647058,Male,0.03013888888888889,0.7857142857142857,0.46153846153846156,0.2916328188464663,0.0,Bandung
C024,0.5,Female,0.9225833333333333,0.35714285714285715,0.6153846153846154,0.6685621445978879,0.7407407407407407,Medan
C025,0.5882352941176471,Female,0.05405555555555556,0.5285714285714286,0.0,0.8943948009748173,0.42592592592592593,Jakarta
C026,0.29411764705882354,Male,0.3055555555555556,0.6285714285714286,0.6153846153846154,0.19983753046303818,0.07407407407407407,Surabaya
C027,0.7352941176470589,Female,0.6805555555555556,0.42857142857142855,0.38461538461538464,0.5085296506904955,0.5,Bandung
C028,0.11764705882352941,Female,0.09722222222222222,0.9571428571428572,1.0,0.041429731925264016,0.018518518518518517,Medan
C029,0.9411764705882353,Male,1.0,0.04285714285714286,0.07692307692307693,0.9634443541835905,1.0,Jakarta
C030,0.5294117647058824,Female,0.4861111111111111,0.5714285714285714,0.5384615384615384,0.3298131600324939,0.2037037037037037,Surabaya
C031,0.029411764705882353,Male,0.0,0.8571428571428571,0.8461538461538461,0.10235580828594638,0.1111111111111111,Bandung
C032,0.8529411764705882,Male,0.7777777777777778,0.17142857142857143,0.15384615384615385,0.7197400487408611,0.5925925925925926,Medan
C033,0.4117647058823529,Female,0.2916666666666667,0.7285714285714285,0.6923076923076923,0.1429731925264013,0.24074074074074073,Jakarta
C034,0.6764705882352942,Male,0.6111111111111112,0.2714285714285714,0.23076923076923078,0.36230706742485785,0.3333333333333333,Surabaya
C035,0.14705882352941177,Female,0.18055555555555555,0.8285714285714286,0.7692307692307693,0.13078797725426483,0.09259259259259259,Bandung
